source,source_doc_id,title,abstract,publication_year,publication_date,journal,article_date,article_year,journal_pub_date,journal_pub_year,clean_text
pubmed,41841141,Beliefs on social distancing and face mask practices during the COVID-19 pandemic in low- and middle-income countries: a cross-sectional study.,"INTRODUCTION: Social distancing and wearing a face mask are highly recommended to mitigate the transmission of coronavirus disease 2019 (COVID-19). However, the success of these strategies relies on individuals' adherence and public compliance. This study was conducted to assess the level of belief in social distancing and face mask practices in communities in low- and middle-income countries (LMICs) and to identify their possible determinants. METHODS: A cross-sectional study was conducted in ten LMICs countries in Asia, Africa, and South America from February to May 2021. A questionnaire was used to assess the belief, practice, and their plausible determinants. Identification of the associated determinants was performed using a logistic regression model. RESULTS: Our data revealed that only 62.6% and 66.9% of the participants had good beliefs in social distancing and good face mask practices, respectively. Residing in the Americas, having a healthcare-related job, knowing people in immediate social environment who are or have been infected and exposure to information of COVID-19 cases on social media or TV were factors significantly associated with good belief in social distancing. Residing country, gender, monthly household income, type of job and exposure to information of COVID-19 cases were significantly associated with face mask wearing practice. CONCLUSION: The proportion of participants having good beliefs in social distancing and good face mask practices is relatively low (<75%). Hence, sustained health campaigns regarding social distancing benefits and face mask-wearing practices during COVID-19 are critical in LMICs.",2022,2022,F1000Research,2026-03-05,2026.0,2022,2022.0,"Beliefs on social distancing and face mask practices during the COVID-19 pandemic in low- and middle-income countries: a cross-sectional study. INTRODUCTION: Social distancing and wearing a face mask are highly recommended to mitigate the transmission of coronavirus disease 2019 (COVID-19). However, the success of these strategies relies on individuals' adherence and public compliance. This study was conducted to assess the level of belief in social distancing and face mask practices in communities in low- and middle-income countries (LMICs) and to identify their possible determinants. METHODS: A cross-sectional study was conducted in ten LMICs countries in Asia, Africa, and South America from February to May 2021. A questionnaire was used to assess the belief, practice, and their plausible determinants. Identification of the associated determinants was performed using a logistic regression model. RESULTS: Our data revealed that only 62.6% and 66.9% of the participants had good beliefs in social distancing and good face mask practices, respectively. Residing in the Americas, having a healthcare-related job, knowing people in immediate social environment who are or have been infected and exposure to information of COVID-19 cases on social media or TV were factors significantly associated with good belief in social distancing. Residing country, gender, monthly household income, type of job and exposure to information of COVID-19 cases were significantly associated with face mask wearing practice. CONCLUSION: The proportion of participants having good beliefs in social distancing and good face mask practices is relatively low (<75%). Hence, sustained health campaigns regarding social distancing benefits and face mask-wearing practices during COVID-19 are critical in LMICs."
pubmed,41835823,Correction to: Thoracoabdominal aortic aneurysm in connective tissue disorder patients.,[This corrects the article DOI: 10.1007/s12055-021-01324-9.].,2026,2026-Apr,Indian journal of thoracic and cardiovascular surgery,2022-05-06,2022.0,2026-Apr,2026.0,Correction to: Thoracoabdominal aortic aneurysm in connective tissue disorder patients. [This corrects the article DOI: 10.1007/s12055-021-01324-9.].
pubmed,41799541,"The genome sequence of Tachina fera (Linnaeus, 1761), a tachinid fly.","We present a genome assembly from an individual female Tachina fera (Arthropoda; Insecta; Diptera; Tachinidae). The genome sequence is 752 megabases in span. Most of the assembly (99.98%) is scaffolded into 6 chromosomal pseudomolecules, with the X sex chromosome assembled. The complete mitochondrial genome was also assembled and is 17.4 kilobases in length. Gene annotation of this assembly on Ensembl identified 12 253 protein-coding genes. This assembly was generated as part of the Darwin Tree of Life project, which produces reference genomes for eukaryotic species found in Britain and Ireland. The primary assembly achieves an Earth BioGenome Project quality code of 7.C.Q57.",2022,2022,Wellcome open research,2026-01-08,2026.0,2022,2022.0,"The genome sequence of Tachina fera (Linnaeus, 1761), a tachinid fly. We present a genome assembly from an individual female Tachina fera (Arthropoda; Insecta; Diptera; Tachinidae). The genome sequence is 752 megabases in span. Most of the assembly (99.98%) is scaffolded into 6 chromosomal pseudomolecules, with the X sex chromosome assembled. The complete mitochondrial genome was also assembled and is 17.4 kilobases in length. Gene annotation of this assembly on Ensembl identified 12 253 protein-coding genes. This assembly was generated as part of the Darwin Tree of Life project, which produces reference genomes for eukaryotic species found in Britain and Ireland. The primary assembly achieves an Earth BioGenome Project quality code of 7.C.Q57."
pubmed,41789881,Case of generalized morphea complicated with systemic sclerosis.,"Dear Editor, Localized scleroderma (LSc; morphea) is a rare fibrosing disease of the skin and underlying tissues, which is different from systemic sclerosis (SSc). LSc is classified based on clinical presentations: circumscribed, linear, generalized, pansclerotic, and mixed morphea. Generalized morphea (GM), which is characterized by widespread skin lesions with multiple indurated plaques or hyperpigmentation, is a relatively rare subtype occurring in 7-9% of patients with LSc. Previous studies have shown that SSc can be complicated by GM, separately from GM-like SSc. Here, we present a rare case of coexistence of LSc and SSc in which LSc skin lesions appeared before SSc became apparent. [...].",2026,2026-Feb-12,Dermatology reports,2021-10-06,2021.0,2026-Feb-12,2026.0,"Case of generalized morphea complicated with systemic sclerosis. Dear Editor, Localized scleroderma (LSc; morphea) is a rare fibrosing disease of the skin and underlying tissues, which is different from systemic sclerosis (SSc). LSc is classified based on clinical presentations: circumscribed, linear, generalized, pansclerotic, and mixed morphea. Generalized morphea (GM), which is characterized by widespread skin lesions with multiple indurated plaques or hyperpigmentation, is a relatively rare subtype occurring in 7-9% of patients with LSc. Previous studies have shown that SSc can be complicated by GM, separately from GM-like SSc. Here, we present a rare case of coexistence of LSc and SSc in which LSc skin lesions appeared before SSc became apparent. [...]."
pubmed,41789878,Skin-limited Langerhans cell histiocytosis in an adult.,"Langerhans cell histiocytosis (LCH) is an idiopathic group of disorders characterized histologically by proliferation and infiltration of tissue by Langerhans cell-type histiocytes. This disease can affect various organs. Patients with a single system lesion should be followed carefully. Detection of somatic BRAF-V600E mutation in circulating blood cells or in lesional biopsies has been associated with high-risk clinical characteristics. A 38-year-old male presented to our Dermatology Centre with a 3-month history of a small nodule on his right leg skin. Surgery to remove the lesion was performed. The diagnosis of skin-limited LCH was established. Due to possible systemic spread, the patient was referred to a hematologist for further evaluation. A full-body computed tomography (CT) scan did not show any infiltrates in other organs. Bone marrow aspirate and biopsy were performed; no Langerhans cells were detected. Sometimes skin lesions may represent the most clinically evident manifestation of potentially life-threatening multisystem disease.",2026,2026-Feb-12,Dermatology reports,2021-07-29,2021.0,2026-Feb-12,2026.0,"Skin-limited Langerhans cell histiocytosis in an adult. Langerhans cell histiocytosis (LCH) is an idiopathic group of disorders characterized histologically by proliferation and infiltration of tissue by Langerhans cell-type histiocytes. This disease can affect various organs. Patients with a single system lesion should be followed carefully. Detection of somatic BRAF-V600E mutation in circulating blood cells or in lesional biopsies has been associated with high-risk clinical characteristics. A 38-year-old male presented to our Dermatology Centre with a 3-month history of a small nodule on his right leg skin. Surgery to remove the lesion was performed. The diagnosis of skin-limited LCH was established. Due to possible systemic spread, the patient was referred to a hematologist for further evaluation. A full-body computed tomography (CT) scan did not show any infiltrates in other organs. Bone marrow aspirate and biopsy were performed; no Langerhans cells were detected. Sometimes skin lesions may represent the most clinically evident manifestation of potentially life-threatening multisystem disease."
pubmed,41789877,Cutaneous Rosai-Dorfman disease: a case report of disease limited only to skin.,"Rosai-Dorfman disease (RDD) is a disorder of histiocytic proliferation that can affect almost every organ. Skin may be involved in about 10% of cases, but only 3% of patients have skin lesions exclusively. Patients with cutaneous Rosai-Dorfman disease (CRDD) are usually healthy, without leading constitutional or other symptoms. The etiology of this disease is unclear, but it might be triggered by an infectious agent such as herpesvirus 6 (HHV-6) and Epstein-Barr virus (EBV). There is also a predisposition to autoimmune diseases and hematological malignancies. There is also a recognized predisposition to autoimmune disorders and hematologic malignancies. In our case, the patient was diagnosed with an infection due to Borrelia burgdorferi. To our knowledge, no previously reported association between B. burgdorferi infection and RDD has been described. The disease may manifest in any age group. The differential diagnosis includes Langerhans cell histiocytosis, metastasis, Hodgkin's lymphoma, and other diseases. Disease usually resolves spontaneously over a period of months to years. Treatment should be administered in non-responsive or multiple relapsing cases. Also, it is very important to take into consideration the patient's expectations and aesthetic appearance before making a treatment decision. Various treatment options are described, including surgical excision, cryotherapy, corticosteroids, antibiotics, methotrexate, and dapsone. In our case, we used CO2 laser treatment successfully. To our knowledge, this is only the second case where CRDD lesions were treated successfully with CO2 laser.",2026,2026-Feb-12,Dermatology reports,2021-07-29,2021.0,2026-Feb-12,2026.0,"Cutaneous Rosai-Dorfman disease: a case report of disease limited only to skin. Rosai-Dorfman disease (RDD) is a disorder of histiocytic proliferation that can affect almost every organ. Skin may be involved in about 10% of cases, but only 3% of patients have skin lesions exclusively. Patients with cutaneous Rosai-Dorfman disease (CRDD) are usually healthy, without leading constitutional or other symptoms. The etiology of this disease is unclear, but it might be triggered by an infectious agent such as herpesvirus 6 (HHV-6) and Epstein-Barr virus (EBV). There is also a predisposition to autoimmune diseases and hematological malignancies. There is also a recognized predisposition to autoimmune disorders and hematologic malignancies. In our case, the patient was diagnosed with an infection due to Borrelia burgdorferi. To our knowledge, no previously reported association between B. burgdorferi infection and RDD has been described. The disease may manifest in any age group. The differential diagnosis includes Langerhans cell histiocytosis, metastasis, Hodgkin's lymphoma, and other diseases. Disease usually resolves spontaneously over a period of months to years. Treatment should be administered in non-responsive or multiple relapsing cases. Also, it is very important to take into consideration the patient's expectations and aesthetic appearance before making a treatment decision. Various treatment options are described, including surgical excision, cryotherapy, corticosteroids, antibiotics, methotrexate, and dapsone. In our case, we used CO2 laser treatment successfully. To our knowledge, this is only the second case where CRDD lesions were treated successfully with CO2 laser."
pubmed,41768966,Identifying patterns of religiosity in adults from a large UK cohort using latent class analysis.,"BACKGROUND: Religiosity is a complex, multifaceted construct, comprising a variety of beliefs and behaviours. Much of the previous research that seeks to quantify religiosity has made use of variable-centred approaches, which place individuals on a continuum of religiosity. However, alternative approaches provide a way to examine different types of religiosity, represented by heterogeneous classes of religious (non)belief. The aim of this study was to apply a person-centred approach to understanding religious beliefs. METHODS: The present study used latent class analysis to identify classes of belief and non-belief in mothers (n=12429) and their partners (n=9953) from the Avon Longitudinal Study of Parents and Children, a large cohort study based in the UK. For this, we used a range of religious belief indicators. We also examined a number of socioeconomic factors, to identify differences between classes, using logistic regression. RESULTS: We identified four different classes of religiosity which we named Highly Religious, Moderately Religious, Agnostic, and Atheist, with similar configurations in both men and women. We also found that class membership was associated with several socioeconomic factors. CONCLUSIONS: The findings provide an insight into different patterns of religiosity in adults in the UK. These classes could be used as exposures in future studies of religiosity and how it relates to a variety of outcomes in both mothers, partners, and their offspring.",2022,2022,Wellcome open research,2026-01-27,2026.0,2022,2022.0,"Identifying patterns of religiosity in adults from a large UK cohort using latent class analysis. BACKGROUND: Religiosity is a complex, multifaceted construct, comprising a variety of beliefs and behaviours. Much of the previous research that seeks to quantify religiosity has made use of variable-centred approaches, which place individuals on a continuum of religiosity. However, alternative approaches provide a way to examine different types of religiosity, represented by heterogeneous classes of religious (non)belief. The aim of this study was to apply a person-centred approach to understanding religious beliefs. METHODS: The present study used latent class analysis to identify classes of belief and non-belief in mothers (n=12429) and their partners (n=9953) from the Avon Longitudinal Study of Parents and Children, a large cohort study based in the UK. For this, we used a range of religious belief indicators. We also examined a number of socioeconomic factors, to identify differences between classes, using logistic regression. RESULTS: We identified four different classes of religiosity which we named Highly Religious, Moderately Religious, Agnostic, and Atheist, with similar configurations in both men and women. We also found that class membership was associated with several socioeconomic factors. CONCLUSIONS: The findings provide an insight into different patterns of religiosity in adults in the UK. These classes could be used as exposures in future studies of religiosity and how it relates to a variety of outcomes in both mothers, partners, and their offspring."
pubmed,41727908,Areas of research interest: joining the dots between government and research at last?,"BACKGROUND: With the aim of making it easier for researchers to produce policy-relevant research, the UK Government now requires all departments and arms-length bodies to publish annually-updated statements of their evidence needs, called 'Areas of Research Interest' (ARIs). We describe how ARIs are produced, and how they are used to support this aim. AIMS AND OBJECTIVES: In this paper we offer a description of ARIs and their development by UK governmental departments, and an assessment of how different stakeholders, including academia and funders, have responded to or otherwise used the ARIs. KEY CONCLUSIONS: ARIs are a mechanism for organisations to share their research interests with external audiences in the form of a published document. In addition to this primary aim, they also have a much broader set of uses, including connecting departments with each other and helping intermediaries shape engagement plans. All groups would benefit from more robust evidence to choose effective engagement mechanisms, and more can be done to make the ARIs discoverable and useable. Overall, the ARIs are a useful tool to illuminate, and begin to connect different parts of the research-policy system.",2022,2022,F1000Research,2026-01-16,2026.0,2022,2022.0,"Areas of research interest: joining the dots between government and research at last? BACKGROUND: With the aim of making it easier for researchers to produce policy-relevant research, the UK Government now requires all departments and arms-length bodies to publish annually-updated statements of their evidence needs, called 'Areas of Research Interest' (ARIs). We describe how ARIs are produced, and how they are used to support this aim. AIMS AND OBJECTIVES: In this paper we offer a description of ARIs and their development by UK governmental departments, and an assessment of how different stakeholders, including academia and funders, have responded to or otherwise used the ARIs. KEY CONCLUSIONS: ARIs are a mechanism for organisations to share their research interests with external audiences in the form of a published document. In addition to this primary aim, they also have a much broader set of uses, including connecting departments with each other and helping intermediaries shape engagement plans. All groups would benefit from more robust evidence to choose effective engagement mechanisms, and more can be done to make the ARIs discoverable and useable. Overall, the ARIs are a useful tool to illuminate, and begin to connect different parts of the research-policy system."
pubmed,41694203,"The knowledge, attitude, and practice towards coronavirus disease (COVID-19) among scuba divers in Saudi Arabia: A cross-sectional study.","BACKGROUND: The aim of this study was to investigate the knowledge, attitude, and practice (KAP) among scuba divers in Saudi Arabia towards equipment infection control measures, protective guidelines measures and potential post COVID-19 infection complications. METHODS: A cross-sectional study using a pre-validated questionnaire was conducted. The questionnaire consisted of 35 close-ended questions, which covered the scuba divers' profile and experience, the KAP of COVID-19 precautionary measures during diving activities as well as the demographic data and background of the scuba divers. KAP scores were subjected to non-parametric tests of statistical significance (Mann Whitney and Kruskal Wallis test). Statistical significance was set at p < 0.05. RESULTS: Most of the 461 participants' answers were in agreeance on the proper KAP of infection control during the COVID-19 pandemic. There was a statistically significant difference in attitude between all the demographic and professional variables (p<0.05) except for gender and region of residence (p>0.05). In addition, there was a statistically significant practice difference among age groups, education levels, and employee status in the diving center (p<0.05). CONCLUSIONS: Our findings showed that scuba divers presented a good level of KAP of infection control measures against the spread of the coronavirus disease. Local officials and diving organizations need to continue their efforts in combating and control the spread of this pandemic.",2021,2021,F1000Research,2026-02-05,2026.0,2021,2021.0,"The knowledge, attitude, and practice towards coronavirus disease (COVID-19) among scuba divers in Saudi Arabia: A cross-sectional study. BACKGROUND: The aim of this study was to investigate the knowledge, attitude, and practice (KAP) among scuba divers in Saudi Arabia towards equipment infection control measures, protective guidelines measures and potential post COVID-19 infection complications. METHODS: A cross-sectional study using a pre-validated questionnaire was conducted. The questionnaire consisted of 35 close-ended questions, which covered the scuba divers' profile and experience, the KAP of COVID-19 precautionary measures during diving activities as well as the demographic data and background of the scuba divers. KAP scores were subjected to non-parametric tests of statistical significance (Mann Whitney and Kruskal Wallis test). Statistical significance was set at p < 0.05. RESULTS: Most of the 461 participants' answers were in agreeance on the proper KAP of infection control during the COVID-19 pandemic. There was a statistically significant difference in attitude between all the demographic and professional variables (p<0.05) except for gender and region of residence (p>0.05). In addition, there was a statistically significant practice difference among age groups, education levels, and employee status in the diving center (p<0.05). CONCLUSIONS: Our findings showed that scuba divers presented a good level of KAP of infection control measures against the spread of the coronavirus disease. Local officials and diving organizations need to continue their efforts in combating and control the spread of this pandemic."
pubmed,41657755,Efficacy and Moderators of Cognitive Behavioural Therapy for Psychosis Versus Other Psychological Interventions: An Individual-Participant Data Meta-Analysis.,"BACKGROUND: Study-level meta-analyses have demonstrated the efficacy of cognitive-behavioural therapy for psychosis (CBTp). Limitations of conventional meta-analysis may be addressed using individual-participant-data (IPD). We aimed to determine a) whether results from IPD were consistent with study-level meta-analyses and b) whether demographic and clinical characteristics moderate treatment outcome. METHODS: We systematically searched PubMed, Embase, PsychInfo and CENTRAL. Authors of RCTs comparing CBTp with other psychological interventions were contacted to obtain original databases. Hierarchical mixed effects models were used to examine efficacy for psychotic symptoms. Patient characteristics were investigated as moderators of symptoms at post-treatment. Sensitivity analyses were conducted for risk of bias, treatment format and study characteristics. RESULTS: We included 14 of 23 eligible RCTs in IPD meta-analyses including 898 patients. Ten RCTs minimised risk of bias. There was no significant difference in efficacy between RCTs providing IPD and those not (p >0.05). CBTp was superior vs. other interventions for total psychotic symptoms and PANSS general symptoms. No demographic or clinical characteristics were robustly demonstrated as moderators of positive, negative, general or total psychotic symptoms at post-treatment. Sensitivity analyses demonstrated that number of sessions moderated the impact of treatment assignment (CBTp or other therapies) on total psychotic symptoms (p = 0.02). CONCLUSIONS: IPD suggest that patient characteristics, including severity of psychotic symptoms, do not significantly influence treatment outcome in psychological interventions for psychosis while investing in sufficient dosage of CBTp is important. IPD provide roughly equivalent efficacy estimates to study-level data although significant benefit was not replicated for positive symptoms. We encourage authors to ensure IPD is accessible for future research.",2025,2025-Oct,Focus (American Psychiatric Publishing),2020-05-05,2020.0,2025-Oct,2025.0,"Efficacy and Moderators of Cognitive Behavioural Therapy for Psychosis Versus Other Psychological Interventions: An Individual-Participant Data Meta-Analysis. BACKGROUND: Study-level meta-analyses have demonstrated the efficacy of cognitive-behavioural therapy for psychosis (CBTp). Limitations of conventional meta-analysis may be addressed using individual-participant-data (IPD). We aimed to determine a) whether results from IPD were consistent with study-level meta-analyses and b) whether demographic and clinical characteristics moderate treatment outcome. METHODS: We systematically searched PubMed, Embase, PsychInfo and CENTRAL. Authors of RCTs comparing CBTp with other psychological interventions were contacted to obtain original databases. Hierarchical mixed effects models were used to examine efficacy for psychotic symptoms. Patient characteristics were investigated as moderators of symptoms at post-treatment. Sensitivity analyses were conducted for risk of bias, treatment format and study characteristics. RESULTS: We included 14 of 23 eligible RCTs in IPD meta-analyses including 898 patients. Ten RCTs minimised risk of bias. There was no significant difference in efficacy between RCTs providing IPD and those not (p >0.05). CBTp was superior vs. other interventions for total psychotic symptoms and PANSS general symptoms. No demographic or clinical characteristics were robustly demonstrated as moderators of positive, negative, general or total psychotic symptoms at post-treatment. Sensitivity analyses demonstrated that number of sessions moderated the impact of treatment assignment (CBTp or other therapies) on total psychotic symptoms (p = 0.02). CONCLUSIONS: IPD suggest that patient characteristics, including severity of psychotic symptoms, do not significantly influence treatment outcome in psychological interventions for psychosis while investing in sufficient dosage of CBTp is important. IPD provide roughly equivalent efficacy estimates to study-level data although significant benefit was not replicated for positive symptoms. We encourage authors to ensure IPD is accessible for future research."
